==> ../CT10/000/ci0049.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  1.000  0.500	   1.901e-01    1.105e-01  1.901e-01  1.105e-01
  2.000  0.500	   1.785e-01    1.202e-01  1.785e-01  1.202e-01
  0.500  1.000	   1.890e-01    1.022e-01  1.890e-01  1.022e-01
  1.000  1.000	   1.763e-01    1.139e-01  1.763e-01  1.139e-01
  2.000  1.000	   1.655e-01    1.213e-01  1.655e-01  1.213e-01
  0.500  2.000	   1.763e-01    1.091e-01  1.763e-01  1.091e-01
  1.000  2.000	   1.644e-01    1.180e-01  1.644e-01  1.180e-01
  2.000  2.000	   1.543e-01    1.234e-01  1.543e-01  1.234e-01
==> ../CT10/000/ci0592.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   1.754e-01    8.694e-02  1.754e-01  8.694e-02
  1.000  0.500	   1.640e-01    9.866e-02  1.640e-01  9.866e-02
  2.000  0.500	   1.543e-01    1.064e-01  1.543e-01  1.064e-01
  0.500  1.000	   1.620e-01    9.329e-02  1.620e-01  9.329e-02
  1.000  1.000	   1.515e-01    1.023e-01  1.515e-01  1.023e-01
  2.000  1.000	   1.425e-01    1.080e-01  1.425e-01  1.080e-01
  0.500  2.000	   1.504e-01    9.860e-02  1.504e-01  9.860e-02
  1.000  2.000	   1.406e-01    1.052e-01  1.406e-01  1.052e-01
  2.000  2.000	   1.323e-01    1.092e-01  1.323e-01  1.092e-01
==> ../CT10/000/ci0638.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   1.492e-01    7.753e-02  1.492e-01  7.753e-02
  1.000  0.500	   1.398e-01    8.680e-02  1.398e-01  8.680e-02
  2.000  0.500	   1.318e-01    9.295e-02  1.318e-01  9.295e-02
  0.500  1.000	   1.372e-01    8.189e-02  1.372e-01  8.189e-02
  1.000  1.000	   1.285e-01    8.898e-02  1.285e-01  8.898e-02
  2.000  1.000	   1.212e-01    9.345e-02  1.212e-01  9.345e-02
  0.500  2.000	   1.268e-01    8.721e-02  1.268e-01  8.721e-02
  1.000  2.000	   1.188e-01    9.216e-02  1.188e-01  9.216e-02
  2.000  2.000	   1.120e-01    9.501e-02  1.120e-01  9.501e-02
==> ../CT10/000/ci0686.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   1.297e-01    7.027e-02  1.297e-01  7.027e-02
  1.000  0.500	   1.219e-01    7.778e-02  1.219e-01  7.778e-02
  2.000  0.500	   1.151e-01    8.273e-02  1.151e-01  8.273e-02
  0.500  1.000	   1.188e-01    7.445e-02  1.188e-01  7.445e-02
  1.000  1.000	   1.116e-01    7.998e-02  1.116e-01  7.998e-02
  2.000  1.000	   1.054e-01    8.341e-02  1.054e-01  8.341e-02
  0.500  2.000	   1.095e-01    7.848e-02  1.095e-01  7.848e-02
  1.000  2.000	   1.028e-01    8.224e-02  1.028e-01  8.224e-02
  2.000  2.000	   9.713e-02    8.435e-02  9.713e-02  8.435e-02
==> ../CT10/000/ci0737.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   1.095e-01    6.133e-02  1.095e-01  6.133e-02
  1.000  0.500	   1.031e-01    6.727e-02  1.031e-01  6.727e-02
  2.000  0.500	   9.762e-02    7.119e-02  9.762e-02  7.119e-02
  0.500  1.000	   9.967e-02    6.481e-02  9.967e-02  6.481e-02
  1.000  1.000	   9.385e-02    6.902e-02  9.385e-02  6.902e-02
  2.000  1.000	   8.887e-02    7.164e-02  8.887e-02  7.164e-02
  0.500  2.000	   9.141e-02    6.809e-02  9.141e-02  6.809e-02
  1.000  2.000	   8.606e-02    7.079e-02  8.606e-02  7.079e-02
  2.000  2.000	   8.151e-02    7.228e-02  8.151e-02  7.228e-02
==> ../CT10/000/ci0790.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   9.348e-02    5.425e-02  9.348e-02  5.425e-02
  1.000  0.500	   8.823e-02    5.894e-02  8.823e-02  5.894e-02
  2.000  0.500	   8.376e-02    6.206e-02  8.376e-02  6.206e-02
  0.500  1.000	   8.486e-02    5.716e-02  8.486e-02  5.716e-02
  1.000  1.000	   8.009e-02    6.041e-02  8.009e-02  6.041e-02
  2.000  1.000	   7.604e-02    6.240e-02  7.604e-02  6.240e-02
  0.500  2.000	   7.741e-02    5.966e-02  7.741e-02  5.966e-02
  1.000  2.000	   7.306e-02    6.165e-02  7.306e-02  6.165e-02
